,Lat,Long
0,42.5750009,-70.93212199999999
1,33.5929472,-79.0086464
2,33.4151843,-111.8314724
3,44.0581728,-121.3153096
4,37.68717609999999,-97.33005299999999
5,33.4483771,-112.0740373
6,53.3952276,-6.264410799999999
7,46.4162723,-117.0451581
8,34.7464809,-92.28959479999999
9,28.7813722,-82.6151001
10,47.6062095,-122.3320708
11,40.7967244,-81.52150929999999
12,37.0057816,-121.5682751
13,42.5144566,-83.01465259999999
14,38.2526647,-85.7584557
15,44.840798,-93.2982799
16,35.5067215,-97.76254410000001
17,28.3647248,-82.1959178
18,47.30732279999999,-122.2284532
19,40.5556484,-75.98187720000001
20,47.5650067,-122.6269768
21,37.6087561,-77.3733139
22,42.3149367,-83.03636329999999
23,47.3019865,-122.3125536
24,51.47873990000001,-0.0271195
25,13.0826802,80.2707184
26,47.1853785,-122.2928974
27,41.5786639,-81.2133262
28,41.7988186,-111.8191107
29,36.0265423,-87.98392299999999
30,37.6818745,-121.7680088
31,35.296462,-84.7479962
32,36.7377981,-119.7871247
33,34.0232431,-84.3615555
34,35.3395079,-97.48670279999999
35,48.0517637,-122.1770818
36,40.1933767,-85.3863599
37,39.6203259,-90.04400009999999
38,34.0522342,-118.2436849
39,53.38112899999999,-1.470085
40,42.0111412,-87.84061919999999
41,36.2025683,-91.1745727
42,45.143731,-122.8553724
43,47.91287560000001,-122.0981847
44,37.7030646,-85.8649408
45,36.2025683,-91.1745727
46,33.8160058,-78.680016
47,46.7968485,-123.0315599
48,47.7881528,-122.3087405
49,39.9611755,-82.99879419999999
50,34.0522342,-118.2436849
51,42.1945758,-122.7094767
52,43.7764258,-79.2317521
53,37.3900893,-83.6226907
54,40.32674069999999,-78.9219698
55,42.8533945,-78.0102868
56,38.65032619999999,-88.04364729999999
57,53.3380907,-3.002547
58,39.0638705,-108.5506486
59,42.1391927,-87.9289591
60,39.2931174,-83.9888205
61,35.1495343,-90.0489801
62,39.44033599999999,-84.3621634
63,40.5678265,-84.1935594
64,-22.9857231,-43.2265556
65,40.7127753,-74.0059728
66,40.0017634,-76.8502488
67,47.91287560000001,-122.0981847
68,35.2533327,-82.6835888
69,25.745929,-80.5549561
70,31.4673632,-110.9742353
71,38.7317158,-90.0803839
72,33.6845673,-117.8265049
73,25.7616798,-80.1917902
74,33.4150485,-111.5495777
75,43.6106237,-72.9726065
76,35.0011986,-92.6298847
77,42.7653662,-71.46756599999999
78,40.0149856,-105.2705456
79,NaN,Nan
80,29.9990924,-90.4123042
81,39.5296329,-119.8138027
82,43.4799291,-110.7624282
83,38.8338816,-104.8213634
84,35.8456213,-86.39027
85,33.8847361,-118.4109089
86,38.9071923,-77.0368707
87,39.5349112,-119.7526886
88,43.653226,-79.3831843
89,33.4473361,-84.1468616
90,42.2598457,-72.2398566
91,40.7471504,-73.7118223
92,47.5650067,-122.6269768
93,39.1950029,-94.6821806
94,34.9387279,-82.2270568
95,25.8575963,-80.2781057
96,37.7808846,-90.4217895
97,37.1356488,-83.28212189999999
