Movie,Year,Release Date
The Disappearance of Flight 412 - 1974,,
The Stranger Within - 1974,,
UFO: Target Earth - 1974,,
Escape to Witch Mountain - 1975,,
The UFO Incident - 1975,,
El hombre perseguido por un O.V.N.I. - 1976,,
God Told Me To - 1976,,
Laserblast - 1978,,
Starship Invasions - 1977,,
Close Encounters of the Third Kind - 1977,,
Foes - 1977,,
The Alien Factor - 1978,,
Burû Kurisumasu - 1978,,
The Day Time Ended - 1978,,
Eyes Behind the Stars - 1978,,
Return from Witch Mountain - 1978,,
The Cat from Outer Space - 1978,,
The Dark - 1979,,
Le gendarme et les extra-terrestres - 1979,,
The Aliens Are Coming - 1980,,
Cheech & Chong's Next Movie - 1980,,
Hangar 18 - 1980,,
The Return - 1980 - a.k.a. 'The Alien's Return',,
Earthbound - 1981,,
Heavy Metal - 1981,,
V (science fiction) series - 1980s,,
Big Meat Eater - 1982,,
E.T. the Extra-Terrestrial - 1982,,
The Thing - 1982,,
Wavelength - 1982,,
Xtro - 1983,,
Alien Prey - 1984,,
The Last Starfighter - 1984,,
Meatballs Part II - 1984 - a.k.a. 'Space Kid',,
Starman - 1984,,
Strange Invaders - 1984,,
Cocoon - 1985,,
Miami Golem - 1985 - a.k.a. 'Miami Horror',,
Morons from Outer Space - 1985,,
My Science Project - 1985,,
Star Knight - 1985,,
UFOria - 1985,,
The Aurora Encounter - 1986,,
Escapes - 1986,,
Flight of the Navigator - 1986,,
Hyper Sapien: People from Another Star - 1986,,
Invaders from Mars - 1986,,
Maximum Overdrive - 1986,,
batteries not included - 1987,,
Predator - 1987,,
Real Men - 1987,,
Alien Nation - 1988,,
Cocoon: The Return - 1988,,
Invasion Earth: The Aliens Are Here - 1988,,
It Came from Somewhere Else - 1988,,
Killer Klowns from Outer Space - 1988,,
Mac and Me - 1988,,
My Stepmother Is an Alien - 1988,,
They Live - 1988,,
The Abyss -1989,,
Communion - 1989,,
Predator 2 - 1990,,
Intruders (film) - 1992,,
Invader - 1992,,
Attack of the 50 Ft. Woman - 1993,,
Fire in the Sky - 1993,,
U.F.O. - 1993,,
Official Denial - 1994,,
The Puppet Masters - 1994,,
Roswell - 1994,,
Star Trek Generations - 1994,,
Stargate - 1994,,
Dead Weekend - 1995,,
Visitors of the Night - 1995,,
The Arrival - 1996,,
Independence Day - 1996,,
Mars Attacks! - 1996,,
Night Visitors - 1996,,
Phenomenon - 1996,,
"Dreamland - 1996 Film won an award called ""The EBE Award: Best UFO Documentary in 1996"". Film made by a Bruce Burgess who also made Broken Dagger See www.digiview.com/Dreamland for more on this film",,
Contact - 1997,,
Invasion - 1997 - a.k.a. 'Robin Cook's Invasion',,
Men in Black - 1997,,
The Shadow Men - 1998,,
Alien Abduction: Incident in Lake County - 1998,,
I Married a Monster - 1998 - remake of 'I Married a Monster from Outer Space' (1958),,
Progeny - 1998,,
The X-Files: Fight the Future - 1998,,
Sphere - 1998,,
The Second Arrival - 1998,,
Gojira ni-sen mireniamu - 'Godzilla 2000' - 1999,,
Muppets from Space - 1999,,
My Favourite Martian - 1999,,
The Astronaut's Wife - 1999,,
Roswell: The Aliens Attack - 1999,,
Star Wars: Episode I – The Phantom Menace - 1999,,
Fantozzi 2000 - La clonazione - 1999,,
Scooby-Doo and the Alien Invaders - 2000,,
Mission to Mars - 2000,,
Titan A.E. - 2000,,
K-PAX - 2001,,
Evolution - 2001,,
Groom Lake - 2002,,
Men in Black II - 2002,,
Signs - 2002,,
Alien Hunter - 2003,,
Koi Mil Gaya (Bollywood) - 2003,,
Visitors - 2003,,
Godzilla: Final Wars - 2004,,
The Forgotten - 2004,,
Alien Abduction - 2005,,
War of the Worlds - 2005,,
Alien Autopsy - 2006,,
Altered - 2006
Flying Saucer Rock'n'Roll - 2006,,
Lifted - 2006,,
Dreamland - 2007,,
Martian Child - 2007,,
Night Skies - 2007,,
Indiana Jones and the Kingdom of the Crystal Skull - 2008,,
The Appearance of a Man - 2008[1],,
The Day the Earth Stood Still - 2008 remake of the 1951 movie,,
The Invasion - 2007,,
Bolt - 2008,,
Summer of the Flying Saucer - 2008,,
The X-Files: I Want to Believe - 2008,,
Alien Trespass - 2009,,
District 9 - 2009,,
Knowing - 2009,,
Monsters vs. Aliens - 2009,,
Race to Witch Mountain - 2009 remake of the 1975 movie,,
The Fourth Kind - 2009,,
Avatar - 2009,,
Skyline - 2010,,
Apollo 18 - 2011,,
Area 51 - 2011,,
Battle: Los Angeles - 2011,,
Cowboys & Aliens - 2011,,
Mars Needs Moms - 2011,,
Paul - 2011,,
Super 8 - 2011,,
Transformers: Dark of the Moon - 2011,,
UFO in Her Eyes - 2011,,
Battleship - 2012,,
Prometheus - 2012,,
U.F.O. - 2012,,
The Avengers - 2012,,
After Earth - 2012,,
Almost Human - 2013,,
Dark Skies - 2013,,
Enders Game - 2013,,
Star Trek Into Darkness - 2013,,
Alien Abduction - 2014,,
Extraterrestrial - 2014,,
Guardians of the Galaxy - 2014,,
Area 51 - 2015,,
Avengers: Age of Ultron - 2015,,
Pixels - 2015,,
Star Wars: Episode VII - The Force Awakens - 2015,,
10 Cloverfield Lane - 2016,,
The 5th Wave - 2016,,
Arrival - 2016,,
Independence Day: Resurgence - 2016,,
Rogue One: A Star Wars Story - 2016,,
Star Trek Beyond - 2016,,
Alien: Covenant - 2017,,
Life - 2017,,
The Cloverfield Paradox - 2018,,

