Episode,Name,Director,Writer,Air Date,Production Code,Viewers (millions)
6,"""How the Ghosts Stole Christmas""",Chris Carter,Chris Carter,1998-12-13,6ABX08,17.31
7,"""Terms of Endearment""",Rob Bowman,David Amann,1999-01-03,6ABX06,18.69
8,"""The Rain King""",Kim Manners,Jeffrey Bell,1999-01-10,6ABX07,21.24
9,"""S.R. 819""",Daniel Sackheim,John Shiban,1999-01-17,6ABX10,15.65
10,"""Tithonus""",Michael Watkins,Vince Gilligan,1999-01-24,6ABX09,15.83
11,"""Two Fathers""",Kim Manners,Chris Carter & Frank Spotnitz,1999-02-07,6ABX11,18.81
12,"""One Son""",Rob Bowman,Chris Carter & Frank Spotnitz,1999-02-14,6ABX12,16.57
13,"""Agua Mala""",Rob Bowman,David Amann,1999-02-21,6ABX14,16.91
14,"""Monday""",Kim Manners,Vince Gilligan & John Shiban,1999-02-28,6ABX15,16.74
15,"""Arcadia""",Michael Watkins,Daniel Arkin,1999-03-07,6ABX13,17.91
16,"""Alpha""",Peter Markle,Jeffrey Bell,1999-03-28,6ABX16,17.67
17,"""Trevor""",Rob Bowman,Jim Guttridge & Ken Hawryliw,1999-04-11,6ABX17,17.65
18,"""Milagro""",Kim Manners,Story by : John Shiban & Frank Spotnitz Teleplay by : Chris Carter,1999-04-18,6ABX18,15.2
19,"""The Unnatural""",David Duchovny,David Duchovny,1999-04-25,6ABX20,16.88
20,"""Three of a Kind""",Bryan Spicer,Vince Gilligan & John Shiban,1999-05-02,6ABX19,12.94
21,"""Field Trip""",Kim Manners,Story by : Frank Spotnitz Teleplay by : John Shiban & Vince Gilligan,1999-05-09,6ABX21,15.38
22,"""Biogenesis""",Rob Bowman,Chris Carter & Frank Spotnitz,1999-05-16,6ABX22,15.86
1,"""The Sixth Extinction""",Kim Manners,Chris Carter,1999-11-07,7ABX03,17.82
2,"""The Sixth Extinction II: Amor Fati""",Michael Watkins,David Duchovny & Chris Carter,1999-11-14,7ABX04,16.15
3,"""Hungry""",Kim Manners,Vince Gilligan,1999-11-21,7ABX01,16.17
4,"""Millennium""",Thomas J. Wright,Vince Gilligan & Frank Spotnitz,1999-11-28,7ABX05,15.09
5,"""Rush""",Robert Lieberman,David Amann,1999-12-05,7ABX06,12.71
6,"""The Goldberg Variation""",Thomas J. Wright,Jeffrey Bell,1999-12-12,7ABX02,14.49
7,"""Orison""",Rob Bowman,Chip Johannessen,2000-01-09,7ABX07,15.63
8,"""The Amazing Maleeni""",Thomas J. Wright,Vince Gilligan & John Shiban & Frank Spotnitz,2000-01-16,7ABX08,16.18
9,"""Signs and Wonders""",Kim Manners,Jeffrey Bell,2000-01-23,7ABX09,13.86
10,"""Sein und Zeit""",Michael Watkins,Chris Carter & Frank Spotnitz,2000-02-06,7ABX10,13.95
11,"""Closure""",Kim Manners,Chris Carter & Frank Spotnitz,2000-02-13,7ABX11,15.35
12,"""X-Cops""",Michael Watkins,Vince Gilligan,2000-02-20,7ABX12,16.56
13,"""First Person Shooter""",Chris Carter,William Gibson & Tom Maddox,2000-02-27,7ABX13,15.31
14,"""Theef""",Kim Manners,Vince Gilligan & John Shiban & Frank Spotnitz,2000-03-12,7ABX14,11.91
15,"""En Ami""",Rob Bowman,William B. Davis,2000-03-19,7ABX15,11.99
16,"""Chimera""",Cliff Bole,David Amann,2000-04-02,7ABX16,12.89
17,"""all things""",Gillian Anderson,Gillian Anderson,2000-04-09,7ABX17,12.18
18,"""Brand X""",Kim Manners,Steven Maeda & Greg Walker,2000-04-16,7ABX19,10.81
19,"""Hollywood A.D.""",David Duchovny,David Duchovny,2000-04-30,7ABX18,12.88
20,"""Fight Club""",Paul Shapiro,Chris Carter,2000-05-07,7ABX20,11.7
21,"""Je Souhaite""",Vince Gilligan,Vince Gilligan,2000-05-14,7ABX21,12.79
22,"""Requiem""",Kim Manners,Chris Carter,2000-05-21,7ABX22,15.26
1,"""Within""",Kim Manners,Chris Carter,2000-11-05,8ABX01,15.87
2,"""Without""",Kim Manners,Chris Carter,2000-11-12,8ABX02,15.1
3,"""Patience""",Chris Carter,Chris Carter,2000-11-19,8ABX04,13.3
4,"""Roadrunners""",Rod Hardy,Vince Gilligan,2000-11-26,8ABX05,13.6
5,"""Invocation""",Richard Compton,David Amann,2000-12-03,8ABX06,13.9
6,"""Redrum""",Peter Markle,Story by : Steven Maeda & Daniel Arkin Teleplay by : Steven Maeda,2000-12-10,8ABX03,13.2
7,"""Via Negativa""",Tony Wharmby,Frank Spotnitz,2000-12-17,8ABX07,12.37
8,"""Surekill""",Terrence O'Hara,Greg Walker,2001-01-07,8ABX09,13.3
9,"""Salvage""",Rod Hardy,Jeffrey Bell,2001-01-14,8ABX10,11.7
10,"""Badlaa""",Tony Wharmby,John Shiban,2001-01-21,8ABX12,11.8
11,"""The Gift""",Kim Manners,Frank Spotnitz,2001-02-04,8ABX11,14.6
12,"""Medusa""",Richard Compton,Frank Spotnitz,2001-02-11,8ABX13,13.8
13,"""Per Manum""",Kim Manners,Chris Carter & Frank Spotnitz,2001-02-18,8ABX08,16
14,"""This Is Not Happening""",Kim Manners,Chris Carter & Frank Spotnitz,2001-02-25,8ABX14,16.9
